precinto,votos,persona,partido
Manatí 021,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Manatí 022,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Ciales 023,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Florida 024,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Barceloneta 025,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Arecibo 026,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Arecibo 027,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Hatillo 028,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Hatillo 029,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Camuy 030,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Quebradillas 031,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Isabela 032,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Sebastián 033,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Las Marías 034,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Aguadilla 035,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Moca 036,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Moca 037,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Aguada 038,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Rincón 039,2683,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Añasco 040,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Mayagüez 041,529,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Mayagüez 042,11512,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Germán 043,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Germán 044,4430,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Hormigueros 045,2824,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Cabo Rojo 046,7612,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Lajas 047,4339,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Guánica 048,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Sabana Grande 049,4130,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Maricao 050,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Yauco 051,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Yauco 052,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Lares 053,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Utuado 054,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Adjuntas 055,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Jayuya 056,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Jayuya 057,2052,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Guayanilla 058,4224,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Peñuelas 059,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Ponce 060,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Ponce 061,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Ponce 062,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Juana Díaz 063,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Juana Díaz 064,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Villalba 065,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Orocovis 066,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Santa Isabel 067,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Coamo 068,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Aibonito 069,4579,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Barranquitas 070,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Barranquitas 071,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Corozal 072,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Naranjito 073,6542,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Comerío 074,4372,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Coamo 075,3466,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Cidra 076,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Cayey 077,6347,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Salinas 078,4390,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Guayama 079,7367,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Arroyo 080,3879,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Aguas Buenas 081,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Caguas 082,6508,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Caguas 083,13781,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Gurabo 084,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Salinas 085,630,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Lorenzo 086,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
San Lorenzo 087,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Juncos 088,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Las Piedras 089,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Las Piedras 090,1018,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Patillas 091,3824,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Maunabo 092,2872,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Yabucoa 093,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Humacao 094,8737,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Naguabo 095,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Vieques 096,1481,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Culebra 097,465,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Ceiba 098,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Fajardo 099,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Luquillo 100,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Río Grande 101,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Río Grande 102,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Loíza 103,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Canóvanas 104,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Canóvanas 105,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Carolina 106,,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Carolina 107,7457,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Carolina 108,12672,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Trujillo Alto 109,5066,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
Trujillo Alto 110,5288,Ricardo Rosselló Nevares,PARTIDO NUEVO PROGRESISTA
